segment_index,start_lat,start_lon,end_lat,end_lon,distance_m,elev_delta_m,grade_pct,recommended_speed_mph,zone,zone_color,start_m,end_m
98,39.050327,-79.376755,39.049273,-79.378022,160.33192726055444,4.9500000000000455,3.087345162361724,2.52890136920424,slowdown,#d73027,9120.783461337303,9281.115388597858
99,39.049273,-79.378022,39.048108,-79.378507,136.14432507528494,3.8400000000001455,2.820536219836344,2.5559213808340138,slowdown,#d73027,9281.115388597858,9417.259713673144
100,39.048108,-79.378507,39.047341,-79.379441,117.38533153882288,2.6699999999998454,2.274560172892467,2.6108863311580377,steady,#fdae61,9417.259713673144,9534.645045211966
101,39.047341,-79.379441,39.046741,-79.38043,108.37691262477628,2.509999999999991,2.31599142216769,2.606730715038651,steady,#fdae61,9534.645045211966,9643.021957836743
102,39.046741,-79.38043,39.045785,-79.380933,114.83493694195258,1.150000000000091,1.0014373940758112,2.737350728276261,steady,#fdae61,9643.021957836743,9757.856894778695
103,39.045785,-79.380933,39.044362,-79.381624,169.10913134905303,-2.349999999999909,-1.3896351907510809,2.8513229447736714,steady,#fdae61,9757.856894778695,9926.966026127748
104,39.044362,-79.381624,39.042938,-79.382316,169.24407766506968,-4.270000000000209,-2.522983408879125,2.8624077972227213,speed-up,#1a9850,9926.966026127748,10096.210103792817
105,39.042938,-79.382316,39.041808,-79.382936,136.5835176657822,-5.069999999999936,-3.7120145143765804,2.8720049592321746,speed-up,#1a9850,10096.210103792817,10232.793621458599
106,39.041808,-79.382936,39.040671,-79.383556,137.3002496770647,-5.879999999999882,-4.282585074557301,2.8758713697572347,speed-up,#1a9850,10232.793621458599,10370.093871135663
107,39.040671,-79.383556,39.039492,-79.383771,132.40730411040838,-5.830000000000155,-4.4030803581189035,2.8766266085367764,speed-up,#1a9850,10370.093871135663,10502.50117524607
108,39.039492,-79.383771,39.038306,-79.383987,133.19013422923072,-4.990000000000009,-3.746523741324433,2.872252422148798,speed-up,#1a9850,10502.50117524607,10635.691309475302
109,39.038306,-79.383987,39.037817,-79.383619,62.98219518926142,-4.449999999999818,-7.06548888400535,2.8878610226294907,speed-up,#1a9850,10635.691309475302,10698.673504664563
110,39.037817,-79.383619,39.037601,-79.383789,28.15048776725547,-4.800000000000182,-17.05121431531116,2.8370431672277903,speed-up,#1a9850,10698.673504664563,10726.823992431819
111,39.037601,-79.383789,39.036903,-79.383646,78.59061126476686,-5.449999999999818,-6.934670582519213,2.887552754592921,speed-up,#1a9850,10726.823992431819,10805.414603696585
112,39.036903,-79.383646,39.035773,-79.383987,129.05590171357858,-5.670000000000073,-4.3934449527026205,2.87656700201958,speed-up,#1a9850,10805.414603696585,10934.470505410163
113,39.035773,-79.383987,39.035145,-79.383726,73.37894948316475,-5.670000000000073,-7.727011683781239,2.8890341125159735,speed-up,#1a9850,10934.470505410163,11007.849454893329
114,39.035145,-79.383726,39.034566,-79.384068,70.83496338807312,-7.3599999999999,-10.390349126995023,2.8872398431309745,speed-up,#1a9850,11007.849454893329,11078.684418281402
115,39.034566,-79.384068,39.033686,-79.384526,105.5453651561169,-6.830000000000155,-6.4711510447641105,2.886257738231839,speed-up,#1a9850,11078.684418281402,11184.229783437519
116,39.033686,-79.384526,39.032751,-79.384229,107.08535092808567,-5.619999999999891,-5.248150144994214,2.8813227937024,speed-up,#1a9850,11184.229783437519,11291.315134365605
117,39.032751,-79.384229,39.031767,-79.383753,116.88555040582997,-7.529999999999973,-6.4421992058518756,2.8861663568916134,speed-up,#1a9850,11291.315134365605,11408.200684771435
118,39.031767,-79.383753,39.030121,-79.383107,191.3436907115104,-8.579999999999927,-4.484077822527227,2.877122272010986,speed-up,#1a9850,11408.200684771435,11599.544375482945
119,39.030121,-79.383107,39.028467,-79.38246,192.22023478585248,-8.470000000000027,-4.406403940478083,2.8766471371738027,speed-up,#1a9850,11599.544375482945,11791.764610268798
120,39.028467,-79.38246,39.028055,-79.382262,48.900814307539186,-8.190000000000055,-16.74818735837979,2.8407447205243956,speed-up,#1a9850,11791.764610268798,11840.665424576337
121,39.028055,-79.382262,39.027218,-79.381561,111.03478158438533,-7.849999999999909,-7.06985674937721,2.8878708807535665,speed-up,#1a9850,11840.665424576337,11951.700206160722
122,39.027218,-79.381561,39.025752,-79.380636,181.54181090953753,-6.9500000000000455,-3.828319198304812,2.8728319693924833,speed-up,#1a9850,11951.700206160722,12133.242017070259
123,39.025752,-79.380636,39.024168,-79.380223,179.70969774381487,-5.690000000000055,-3.1662175561117647,2.867857988282993,speed-up,#1a9850,12133.242017070259,12312.951714814073
124,39.024168,-79.380223,39.022584,-79.379801,179.86582129377305,-4.4500000000000455,-2.47406648355493,2.8619684004096615,speed-up,#1a9850,12312.951714814073,12492.817536107847
125,39.022584,-79.379801,39.02153,-79.379585,118.67560014997143,-3.259999999999991,-2.7469842123235946,2.864374894014544,speed-up,#1a9850,12492.817536107847,12611.493136257817
126,39.02153,-79.379585,39.020343,-79.379253,135.06865769163574,-1.9100000000000819,-1.4140956404265506,2.8515821456981634,steady,#fdae61,12611.493136257817,12746.561793949453
127,39.020343,-79.379253,39.01915,-79.37892,135.7390712623319,-0.5199999999999818,-0.3830879312523216,2.8398930668043154,steady,#fdae61,12746.561793949453,12882.300865211786
128,39.01915,-79.37892,39.018647,-79.37716,162.0100223960486,0.6700000000000728,0.41355466167530996,2.7949422862231934,steady,#fdae61,12882.300865211786,13044.310887607835
129,39.018647,-79.37716,39.017377,-79.376881,143.25983360567162,1.5899999999999181,1.1098714552304008,2.726672485156083,steady,#fdae61,13044.310887607835,13187.570721213506
130,39.017377,-79.376881,39.017028,-79.376738,40.72608680186889,1.990000000000009,4.886302997096911,2.343984043323985,steady,#fdae61,13187.570721213506,13228.296808015375
131,39.017028,-79.376738,39.017147,-79.375749,86.46201349753903,1.3300000000001546,1.5382477763347604,2.684318098793068,steady,#fdae61,13228.296808015375,13314.758821512914
132,39.017147,-79.375749,39.016944,-79.374869,79.30677878234296,-0.2599999999999909,-0.32784082772238116,2.839222533646566,steady,#fdae61,13314.758821512914,13394.065600295258
133,39.016944,-79.374869,39.015876,-79.374222,131.25373366105987,-1.5600000000001728,-1.1885376183115703,2.849158583760403,steady,#fdae61,13394.065600295258,13525.319333956319
134,39.015876,-79.374222,39.014481,-79.374671,159.89393009470064,-1.8899999999998727,-1.1820336137090879,2.849087589103586,steady,#fdae61,13525.319333956319,13685.213264051019
135,39.014481,-79.374671,39.013461,-79.375255,124.13564830191079,-1.8099999999999454,-1.4580823677642039,2.852046045584209,steady,#fdae61,13685.213264051019,13809.348912352929
136,39.013461,-79.375255,39.011793,-79.375749,190.32071022777245,-1.6100000000001273,-0.8459405169691243,2.8453342115194746,steady,#fdae61,13809.348912352929,13999.6696225807
137,39.011793,-79.375749,39.010495,-79.375642,144.62679656455265,-1.4400000000000546,-0.9956661104343314,2.847026834487358,steady,#fdae61,13999.6696225807,14144.296419145254
138,39.010495,-79.375642,39.009371,-79.375031,135.6752219602111,-1.6799999999998363,-1.238251152809997,2.849699176454556,steady,#fdae61,14144.296419145254,14279.971641105465
139,39.009371,-79.375031,39.00824,-79.37442,136.39290806085452,-2.0700000000001637,-1.5176742173988917,2.852669979964096,steady,#fdae61,14279.971641105465,14416.36454916632
140,39.00824,-79.37442,39.007626,-79.375228,97.64969854668823,-2.0799999999999272,-2.1300628992781157,2.8587789058177413,steady,#fdae61,14416.36454916632,14514.014247713007
141,39.007626,-79.375228,39.007459,-79.376154,82.13807688355612,-1.6900000000000546,-2.057511040093987,2.8580839849695514,steady,#fdae61,14514.014247713007,14596.152324596564
142,39.007459,-79.376154,39.006879,-79.376648,77.3390172287247,-1.3899999999998727,-1.797281695329856,2.8555277047496745,steady,#fdae61,14596.152324596564,14673.491341825289
143,39.006879,-79.376648,39.006691,-79.377232,54.620059265333005,-1.7799999999999727,-3.258875995269612,2.8685929094691973,steady,#fdae61,14673.491341825289,14728.111401090622
144,39.006691,-79.377232,39.005392,-79.376639,153.26135134286204,-2.5800000000001546,-1.683398963531529,2.8543776578594513,steady,#fdae61,14728.111401090622,14881.372752433484
145,39.005392,-79.376639,39.004094,-79.376046,153.15687410400707,-3.1599999999998545,-2.0632439898544384,2.858139178603864,steady,#fdae61,14881.372752433484,15034.529626537491
146,39.004094,-79.376046,39.002404,-79.375642,191.13454410709383,-3.5299999999999727,-1.8468665706090743,2.856022473087399,steady,#fdae61,15034.529626537491,15225.664170644584
147,39.002404,-79.375642,39.000897,-79.374851,180.97516842984928,-4.660000000000082,-2.574938893788857,2.862870630784432,speed-up,#1a9850,15225.664170644584,15406.639339074434
148,39.000897,-79.374851,39.000101,-79.3738,126.8176466693525,-4.769999999999982,-3.761306194583981,2.8723578896745705,speed-up,#1a9850,15406.639339074434,15533.456985743787
149,39.000101,-79.3738,38.999298,-79.372749,127.36285039469394,-1.8099999999999454,-1.4211365358036552,2.851656592969527,steady,#fdae61,15533.456985743787,15660.819836138482
150,38.999298,-79.372749,38.998691,-79.372057,90.17558451433901,-0.20000000000004547,-0.22178952437867822,2.8379228012819815,steady,#fdae61,15660.819836138482,15750.995420652822
151,38.998691,-79.372057,38.99832,-79.371815,46.25128403886029,-1.0699999999999363,-2.3134492852153534,2.860500885647211,steady,#fdae61,15750.995420652822,15797.246704691683
152,38.99832,-79.371815,38.997497,-79.371024,114.22458112701294,-0.3400000000001455,-0.29765922242435694,2.8388543223989333,steady,#fdae61,15797.246704691683,15911.471285818696
153,38.997497,-79.371024,38.996261,-79.369479,191.6131187424537,0.9800000000000182,0.5114472361974504,2.7853876044308183,steady,#fdae61,15911.471285818696,16103.08440456115
154,38.996261,-79.369479,38.994676,-79.368599,191.9518283653036,0.7100000000000364,0.36988446843488,2.799200110745706,steady,#fdae61,16103.08440456115,16295.036232926454
155,38.994676,-79.368599,38.99321,-79.36841,163.82804057229657,0.2999999999999545,0.18311883542766655,2.8173780028839364,steady,#fdae61,16295.036232926454,16458.86427349875
156,38.99321,-79.36841,38.992051,-79.368177,130.4386156978795,-0.11999999999989086,-0.09199729647379389,2.8363095787643258,steady,#fdae61,16458.86427349875,16589.30288919663
157,38.992051,-79.368177,38.990892,-79.367934,130.5748812234985,-1.4800000000000182,-1.133449240874113,2.848555295143351,steady,#fdae61,16589.30288919663,16719.87777042013
158,38.990892,-79.367934,38.989893,-79.368347,116.67761170110403,-2.6900000000000546,-2.305497996386055,2.8604272504755333,speed-up,#1a9850,16719.87777042013,16836.555382121234
159,38.989893,-79.368347,38.989042,-79.3685,95.5463532304146,-3.089999999999918,-3.234032378554769,2.8683971020581183,speed-up,#1a9850,16836.555382121234,16932.101735351647
160,38.989042,-79.3685,38.988288,-79.368536,83.8986889980652,-2.300000000000182,-2.741401596934635,2.8643267668423005,speed-up,#1a9850,16932.101735351647,17016.000424349713
161,38.988288,-79.368536,38.987387,-79.367682,124.4403427545664,-1.8199999999999363,-1.4625482056004306,2.8520929846692686,speed-up,#1a9850,17016.000424349713,17140.44076710428
162,38.987387,-79.367682,38.987827,-79.366389,121.99439997918286,-3.5499999999999545,-2.9099696384471145,2.8657597549307057,speed-up,#1a9850,17140.44076710428,17262.435167083462
